"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Oct 19, 2024","68418.98","68668.01","68024.64","68362.73","68362.73","14443497908"
"Oct 18, 2024","67419.11","68969.75","67177.82","68418.79","68418.79","36857165014"
"Oct 17, 2024","67617.08","67912.21","66647.39","67399.84","67399.84","32790898511"
"Oct 16, 2024","67042.46","68375.29","66758.73","67612.72","67612.72","38195189534"
"Oct 15, 2024","66050.37","67881.68","64809.20","67041.11","67041.11","48863870879"
"Oct 14, 2024","62848.40","66482.49","62442.15","66046.13","66046.13","43706958056"
"Oct 13, 2024","63192.95","63272.65","62035.64","62851.38","62851.38","18177529690"
"Oct 12, 2024","62444.62","63448.79","62443.27","63193.02","63193.02","16744110886"
"Oct 11, 2024","60275.46","63400.87","60046.13","62445.09","62445.09","30327141594"
"Oct 10, 2024","60581.93","61236.72","58895.21","60274.50","60274.50","30452813570"
"Oct 9, 2024","62131.73","62508.84","60314.61","60582.10","60582.10","27670982363"
"Oct 8, 2024","62221.64","63174.30","61843.56","62131.97","62131.97","28134475157"
"Oct 7, 2024","62819.11","64443.71","62152.55","62236.66","62236.66","34253562610"
"Oct 6, 2024","62084.99","62959.57","61833.15","62818.95","62818.95","14776233667"
"Oct 5, 2024","62067.61","62371.02","61689.58","62089.95","62089.95","13305410749"
"Oct 4, 2024","60754.63","62465.99","60459.94","62067.48","62067.48","29585472513"
"Oct 3, 2024","60632.48","61469.04","59878.80","60759.40","60759.40","36106447279"
"Oct 2, 2024","60836.32","62357.69","59996.95","60632.79","60632.79","40762722398"
"Oct 1, 2024","63335.61","64110.98","60189.28","60837.01","60837.01","50220923500"
"Sep 30, 2024","65634.66","65635.05","62873.62","63329.50","63329.50","37112957475"
"Sep 29, 2024","65888.90","66069.34","65450.02","65635.30","65635.30","14788214575"
"Sep 28, 2024","65792.18","66255.53","65458.04","65887.65","65887.65","15243637984"
"Sep 27, 2024","65180.66","66480.70","64852.99","65790.66","65790.66","32058813449"
"Sep 26, 2024","63138.55","65790.80","62669.27","65181.02","65181.02","36873129847"
"Sep 25, 2024","64302.59","64804.50","62945.38","63143.14","63143.14","25078377700"
"Sep 24, 2024","63326.84","64695.21","62737.42","64301.97","64301.97","29938335243"
"Sep 23, 2024","63643.10","64733.56","62628.08","63329.80","63329.80","31400285425"
"Sep 22, 2024","63396.80","63993.42","62440.73","63648.71","63648.71","20183348802"
"Sep 21, 2024","63184.34","63543.36","62783.11","63394.84","63394.84","14408616220"
"Sep 20, 2024","62941.43","64119.53","62364.61","63192.98","63192.98","35177164222"
"Sep 19, 2024","61651.16","63872.44","61609.87","62940.46","62940.46","42710252573"
"Sep 18, 2024","60309.00","61664.07","59218.25","61649.68","61649.68","40990702891"
"Sep 17, 2024","58192.51","61316.09","57628.07","60308.54","60308.54","38075570118"
"Sep 16, 2024","59185.23","59205.51","57501.34","58192.51","58192.51","32032822113"
"Sep 15, 2024","60000.73","60381.92","58696.31","59182.84","59182.84","18120960867"
"Sep 14, 2024","60569.12","60656.72","59517.88","60005.12","60005.12","16428405496"
"Sep 13, 2024","58130.32","60648.02","57650.11","60571.30","60571.30","32490528356"
"Sep 12, 2024","57343.17","58534.36","57330.10","58127.01","58127.01","33835707949"
"Sep 11, 2024","57650.29","57991.32","55567.34","57343.17","57343.17","37049062672"
"Sep 10, 2024","57020.10","58029.98","56419.41","57648.71","57648.71","28857630507"
"Sep 9, 2024","54851.89","58041.13","54598.43","57019.54","57019.54","34618096173"
"Sep 8, 2024","54147.93","55300.86","53653.76","54841.57","54841.57","18268287531"
"Sep 7, 2024","53949.09","54838.14","53740.07","54139.69","54139.69","19061486526"
"Sep 6, 2024","56160.19","56976.11","52598.70","53948.75","53948.75","49361693566"
"Sep 5, 2024","57971.70","58300.58","55712.45","56160.49","56160.49","31030280656"
"Sep 4, 2024","57430.35","58511.57","55673.16","57971.54","57971.54","35627680312"
"Sep 3, 2024","59106.19","59815.06","57425.17","57431.02","57431.02","26666961053"
"Sep 2, 2024","57326.97","59403.07","57136.03","59112.48","59112.48","27036454524"
"Sep 1, 2024","58969.80","59062.07","57217.82","57325.49","57325.49","24592449997"
"Aug 31, 2024","59117.48","59432.59","58768.79","58969.90","58969.90","12403470760"
"Aug 30, 2024","59388.60","59896.89","57768.53","59119.48","59119.48","32292756405"
"Aug 29, 2024","59027.47","61184.08","58786.23","59388.18","59388.18","32224990582"
"Aug 28, 2024","59507.93","60236.45","57890.68","59027.63","59027.63","40289564698"
"Aug 27, 2024","62879.71","63210.80","58116.75","59504.13","59504.13","39103882198"
"Aug 26, 2024","64342.23","64489.71","62849.56","62880.66","62880.66","27682040631"
"Aug 25, 2024","64176.37","64996.42","63833.52","64333.54","64333.54","18827683555"
"Aug 24, 2024","64103.87","64513.79","63619.92","64178.99","64178.99","21430585163"
"Aug 23, 2024","60380.95","64947.06","60372.05","64094.36","64094.36","42530509233"
"Aug 22, 2024","61168.32","61408.11","59815.25","60381.91","60381.91","27625734377"
"Aug 21, 2024","59014.99","61834.35","58823.45","61175.19","61175.19","32731154072"
"Aug 20, 2024","59493.45","61396.33","58610.88","59012.79","59012.79","31613400008"
"Aug 19, 2024","58480.71","59612.66","57864.71","59493.45","59493.45","25911207712"
"Aug 18, 2024","59468.13","60262.72","58445.40","58483.96","58483.96","17740625837"
"Aug 17, 2024","58893.53","59694.67","58814.83","59478.97","59478.97","13589684021"
"Aug 16, 2024","57560.27","59847.36","57110.02","58894.11","58894.11","29350938673"
"Aug 15, 2024","58733.26","59838.65","56161.59","57560.10","57560.10","35682112440"
"Aug 14, 2024","60611.05","61687.76","58472.88","58737.27","58737.27","29961696180"
"Aug 13, 2024","59356.21","61572.40","58506.25","60609.57","60609.57","30327698167"
"Aug 12, 2024","58719.39","60680.33","57688.90","59354.52","59354.52","37078637820"
"Aug 11, 2024","60944.89","61778.66","58348.82","58719.48","58719.48","22759754812"
"Aug 10, 2024","60881.23","61464.51","60287.57","60945.81","60945.81","15745822278"
"Aug 9, 2024","61728.21","61751.86","59587.86","60880.11","60880.11","33425553115"
"Aug 8, 2024","55030.03","62673.77","54766.73","61710.14","61710.14","45298472567"
"Aug 7, 2024","56040.63","57726.88","54620.51","55027.46","55027.46","41637562185"
"Aug 6, 2024","53991.35","57059.92","53973.27","56034.32","56034.32","49300484106"
"Aug 5, 2024","58110.30","58268.83","49121.24","53991.46","53991.46","108991085584"
"Aug 4, 2024","60676.09","61062.99","57210.80","58116.98","58116.98","31758917219"
"Aug 3, 2024","61414.81","62148.37","59836.53","60680.09","60680.09","31753030589"
"Aug 2, 2024","65353.50","65523.22","61184.89","61415.07","61415.07","43060875727"
"Aug 1, 2024","64625.84","65593.24","62248.94","65357.50","65357.50","40975554494"
"Jul 31, 2024","66201.27","66810.21","64532.05","64619.25","64619.25","31292785994"
"Jul 30, 2024","66819.05","66987.67","65323.19","66201.02","66201.02","31380492109"
"Jul 29, 2024","68259.05","69987.54","66532.59","66819.91","66819.91","40780682628"
"Jul 28, 2024","67808.66","68301.85","67085.83","68255.87","68255.87","18043166945"
"Jul 27, 2024","67911.81","69398.51","66705.22","67813.34","67813.34","34691905492"
"Jul 26, 2024","65771.81","68207.60","65743.77","67912.06","67912.06","30488630457"
"Jul 25, 2024","65375.88","66112.42","63473.47","65777.23","65777.23","38315761670"
"Jul 24, 2024","65927.86","67113.98","65147.00","65372.13","65372.13","27470942309"
"Jul 23, 2024","67584.80","67779.02","65484.46","65927.67","65927.67","35605668666"
"Jul 22, 2024","68152.98","68480.06","66611.30","67585.25","67585.25","42649109453"
"Jul 21, 2024","67164.91","68372.91","65842.30","68154.52","68154.52","26652190004"
"Jul 20, 2024","66709.92","67610.73","66299.62","67163.65","67163.65","19029581250"
"Jul 19, 2024","63972.32","67442.64","63329.34","66710.16","66710.16","37003855410"
"Jul 18, 2024","64104.74","65104.66","63246.16","63974.07","63974.07","27239305337"
"Jul 17, 2024","65091.83","66066.73","63896.09","64118.79","64118.79","32525071311"
"Jul 16, 2024","64784.42","65354.34","62487.97","65097.15","65097.15","41617346768"
"Jul 15, 2024","60815.46","64870.15","60704.93","64870.15","64870.15","38094526099"
"Jul 14, 2024","59225.25","61329.53","59225.25","60787.79","60787.79","22223416061"
"Jul 13, 2024","57908.74","59787.08","57796.44","59231.95","59231.95","17080061806"
"Jul 12, 2024","57341.20","58532.55","56590.18","57899.46","57899.46","25604805221"
"Jul 11, 2024","57729.89","59299.43","57120.38","57344.91","57344.91","28707803842"
"Jul 10, 2024","58033.88","59359.43","57178.41","57742.50","57742.50","26175260526"
"Jul 9, 2024","56704.60","58239.20","56316.88","58009.23","58009.23","27849512607"
"Jul 8, 2024","55849.57","58131.34","54321.02","56705.10","56705.10","39766159899"
"Jul 7, 2024","58239.43","58371.12","55793.32","55849.11","55849.11","20553359505"
"Jul 6, 2024","56659.07","58472.55","56038.96","58303.54","58303.54","20610320577"
"Jul 5, 2024","57022.81","57497.15","53717.38","56662.38","56662.38","55417544033"
"Jul 4, 2024","60147.14","60399.68","56777.80","56977.70","56977.70","41149609230"
"Jul 3, 2024","62034.33","62187.70","59419.39","60173.92","60173.92","29756701685"
"Jul 2, 2024","62844.41","63203.36","61752.75","62029.02","62029.02","20151616992"
"Jul 1, 2024","62673.61","63777.23","62495.51","62851.98","62851.98","25468379421"
"Jun 30, 2024","60888.45","62892.83","60632.95","62678.29","62678.29","17333226409"
"Jun 29, 2024","60319.88","61097.62","60300.96","60887.38","60887.38","12652903396"
"Jun 28, 2024","61612.80","62126.10","59985.40","60320.14","60320.14","24952866877"
"Jun 27, 2024","60811.23","62293.86","60585.33","61604.80","61604.80","21231745045"
"Jun 26, 2024","61789.68","62434.14","60695.19","60811.28","60811.28","22506003064"
"Jun 25, 2024","60266.28","62258.26","60239.75","61804.64","61804.64","29201215431"
"Jun 24, 2024","63173.35","63292.53","58601.70","60277.41","60277.41","43152133651"
"Jun 23, 2024","64248.96","64491.70","63180.80","63180.80","63180.80","11170471802"
"Jun 22, 2024","64113.86","64475.47","63929.76","64252.58","64252.58","9858198793"
"Jun 21, 2024","64837.99","65007.55","63378.89","64096.20","64096.20","26188171739"
"Jun 20, 2024","64960.30","66438.96","64547.85","64828.66","64828.66","25641109124"
"Jun 19, 2024","65146.66","65695.35","64693.30","64960.30","64960.30","21103423504"
"Jun 18, 2024","66490.98","66556.70","64066.96","65140.75","65140.75","39481285950"
"Jun 17, 2024","66636.52","67188.32","65094.96","66490.30","66490.30","30006354476"
"Jun 16, 2024","66189.36","66894.84","66018.25","66639.05","66639.05","13281140541"
"Jun 15, 2024","66006.74","66402.19","65871.77","66191.00","66191.00","14121265576"
"Jun 14, 2024","66747.57","67294.65","65056.89","66011.09","66011.09","27403884779"
"Jun 13, 2024","68243.10","68365.78","66304.56","66756.40","66756.40","28955204146"
"Jun 12, 2024","67321.38","69977.89","66902.45","68241.19","68241.19","34497940694"
"Jun 11, 2024","69508.08","69549.41","66123.60","67332.03","67332.03","37116136345"
"Jun 10, 2024","69644.31","70146.07","69232.42","69512.28","69512.28","20597699541"
"Jun 9, 2024","69297.49","69817.52","69160.84","69647.99","69647.99","13534028500"
"Jun 8, 2024","69324.18","69533.32","69210.74","69305.77","69305.77","14262185861"
"Jun 7, 2024","70759.19","71907.85","68507.26","69342.59","69342.59","36188381096"
"Jun 6, 2024","71082.84","71625.73","70119.13","70757.16","70757.16","25223152007"
"Jun 5, 2024","70568.35","71735.41","70390.71","71082.82","71082.82","32810771409"
"Jun 4, 2024","68804.57","71047.41","68564.64","70567.77","70567.77","33149696545"
"Jun 3, 2024","67753.90","70230.82","67589.84","68804.78","68804.78","32401285324"
"Jun 2, 2024","67710.27","68409.16","67315.52","67751.60","67751.60","17110588415"
"Jun 1, 2024","67489.61","67839.77","67386.20","67706.94","67706.94","11641495604"
"May 31, 2024","68362.52","68999.56","66633.42","67491.41","67491.41","27387283769"
"May 30, 2024","67576.09","69500.54","67118.08","68364.99","68364.99","29509712534"
"May 29, 2024","68296.35","68852.46","67101.49","67578.09","67578.09","26707072906"
"May 28, 2024","69392.20","69514.64","67227.16","68296.22","68296.22","32722265965"
"May 27, 2024","68512.18","70597.88","68232.50","69394.55","69394.55","25870990717"
"May 26, 2024","69264.29","69506.23","68183.89","68518.09","68518.09","15628433737"
"May 25, 2024","68526.92","69579.32","68515.82","69265.95","69265.95","15473071741"
"May 24, 2024","67928.13","69220.30","66622.67","68526.10","68526.10","29197308153"
"May 23, 2024","69121.30","70041.27","66356.95","67929.56","67929.56","41895680979"
"May 22, 2024","70135.32","70623.70","68977.70","69122.34","69122.34","32802561717"
"May 21, 2024","71443.06","71946.46","69191.13","70136.53","70136.53","46932005990"
"May 20, 2024","66278.74","71483.56","66086.17","71448.20","71448.20","43850655717"
"May 19, 2024","66937.93","67694.30","65937.18","66278.37","66278.37","19249094538"
"May 18, 2024","67066.21","67387.33","66663.50","66940.80","66940.80","16712277406"
"May 17, 2024","65231.30","67459.46","65119.32","67051.88","67051.88","28031279310"
"May 16, 2024","66256.11","66712.43","64613.05","65231.58","65231.58","31573077994"
"May 15, 2024","61553.99","66454.45","61330.41","66267.49","66267.49","39815167074"
"May 14, 2024","62900.77","63092.13","61123.77","61552.79","61552.79","28186271527"
"May 13, 2024","61451.22","63422.66","60769.84","62901.45","62901.45","27889181179"
"May 12, 2024","60793.50","61818.16","60632.60","61448.39","61448.39","13800459405"
"May 11, 2024","60793.36","61451.15","60492.63","60793.71","60793.71","13842272968"
"May 10, 2024","63055.19","63446.74","60208.78","60792.78","60792.78","27804954694"
"May 9, 2024","61191.20","63404.91","60648.07","63049.96","63049.96","25453338161"
"May 8, 2024","62332.64","62986.09","60877.13","61187.94","61187.94","26088172222"
"May 7, 2024","63162.76","64390.46","62285.98","62334.82","62334.82","25930730982"
"May 6, 2024","64038.31","65494.90","62746.24","63161.95","63161.95","28697928697"
"May 5, 2024","63892.45","64610.89","62955.30","64031.13","64031.13","18296164805"
"May 4, 2024","62891.03","64494.96","62599.35","63891.47","63891.47","20620477992"
"May 3, 2024","59122.30","63320.50","58848.31","62889.84","62889.84","33172023048"
"May 2, 2024","58253.70","59602.30","56937.20","59123.43","59123.43","32711813559"
"May 1, 2024","60609.50","60780.50","56555.29","58254.01","58254.01","48439780271"
"Apr 30, 2024","63839.42","64703.33","59120.07","60636.86","60636.86","37840840057"
"Apr 29, 2024","63106.36","64174.88","61795.46","63841.12","63841.12","26635912073"
"Apr 28, 2024","63423.52","64321.48","62793.60","63113.23","63113.23","17334827993"
"Apr 27, 2024","63750.99","63898.36","62424.72","63419.14","63419.14","19530783039"
"Apr 26, 2024","64485.37","64789.66","63322.40","63755.32","63755.32","24139372950"
"Apr 25, 2024","64275.02","65275.21","62783.63","64481.71","64481.71","32155786816"
"Apr 24, 2024","66408.72","67075.37","63589.87","64276.90","64276.90","30276655120"
"Apr 23, 2024","66839.89","67199.24","65864.87","66407.27","66407.27","24310975583"
"Apr 22, 2024","64935.63","67233.96","64548.18","66837.68","66837.68","28282686673"
"Apr 21, 2024","64992.82","65723.24","64277.72","64926.64","64926.64","20506644853"
"Apr 20, 2024","63851.10","65442.46","63172.40","64994.44","64994.44","23097485495"
"Apr 19, 2024","63510.75","65481.60","59651.39","63843.57","63843.57","49920425401"
"Apr 18, 2024","61275.32","64125.69","60833.48","63512.75","63512.75","36006307335"